origNode, k, verticesSeen
233,2,10512,
233,3,27706,
234,1,295,
234,2,16712,
234,3,28263,
235,1,45,
235,2,7042,
235,3,27056,
236,1,23,
236,2,6001,
236,3,26797,
237,1,388,
237,2,18304,
237,3,28314,
238,1,61,
238,2,10300,
238,3,27721,
239,1,33,
239,2,6026,
239,3,26849,
240,1,160,
240,2,15088,
240,3,28145,
241,1,25,
241,2,7533,
241,3,27204,
242,1,9,
242,2,6855,
242,3,27005,
243,1,1417,
243,2,22629,
243,3,28486,
244,1,249,
244,2,15884,
244,3,28210,
245,1,103,
245,2,12053,
245,3,27894,
246,1,504,
246,2,18824,
246,3,28341,
247,1,93,
247,2,9793,
247,3,27682,
248,1,40,
248,2,7328,
248,3,27184,
249,1,714,
249,2,20703,
249,3,28434,
250,1,114,
250,2,11947,
250,3,27906,
251,1,48,
251,2,6962,
251,3,27123,
252,1,251,
252,2,15166,
252,3,28172,
253,1,45,
253,2,7433,
253,3,27229,
254,1,16,
254,2,2274,
254,3,24427,
255,1,610,
255,2,19689,
255,3,28394,
256,1,102,
256,2,12471,
256,3,27953,
257,1,39,
257,2,7793,
257,3,27285,
258,1,206,
258,2,15513,
258,3,28180,
259,1,38,
259,2,8620,
259,3,27391,
260,1,9,
260,2,5097,
260,3,26418,
261,1,313,
261,2,17043,
261,3,28291,
262,1,49,
262,2,10187,
262,3,27671,
263,1,23,
263,2,8338,
263,3,27385,
264,1,103,
264,2,10218,
264,3,27688,
265,1,10,
265,2,2351,
265,3,24673,
266,1,6,
266,2,1657,
266,3,23470,
267,1,809,
267,2,20572,
267,3,28420,
268,1,154,
268,2,13377,
268,3,28016,
269,1,64,
269,2,10613,
269,3,27752,
270,1,297,
270,2,16266,
270,3,28227,
271,1,53,
271,2,6421,
271,3,26949,
272,1,27,
272,2,7309,
272,3,27140,
273,1,400,
273,2,18663,
273,3,28355,
274,1,53,
274,2,9302,
274,3,27545,
275,1,23,
275,2,7435,
275,3,27158,
276,1,136,
276,2,13603,
276,3,28065,
277,1,25,
277,2,6168,
277,3,26941,
278,1,6,
278,2,2009,
278,3,23970,
279,1,344,
279,2,17279,
279,3,28317,
280,1,59,
280,2,7599,
280,3,27253,
281,1,27,
281,2,5156,
281,3,26418,
282,1,102,
282,2,11207,
282,3,27815,
283,1,19,
283,2,7192,
283,3,27093,
284,1,9,
284,2,6187,
284,3,26748,
285,1,159,
285,2,14329,
285,3,28097,
286,1,17,
286,2,7055,
286,3,27059,
287,1,3,
287,2,2769,
287,3,25044,
288,1,28,
288,2,5432,
288,3,26679,
289,1,10,
289,2,3845,
289,3,25772,
290,1,7,
290,2,3734,
290,3,25707,
291,1,4,
291,2,696,
291,3,20383,
292,1,797,
292,2,20152,
292,3,28411,
293,1,119,
293,2,12119,
293,3,27906,
294,1,55,
294,2,7428,
294,3,27176,
295,1,280,
295,2,15401,
295,3,28166,
296,1,52,
296,2,6526,
296,3,27044,
297,1,16,
297,2,2669,
297,3,24818,
298,1,415,
298,2,17411,
298,3,28296,
299,1,63,
299,2,10488,
299,3,27717,
300,1,28,
300,2,4174,
300,3,26012,
301,1,163,
301,2,12800,
301,3,28018,
302,1,21,
302,2,6793,
302,3,26988,
303,1,9,
303,2,3780,
303,3,25812,
304,1,327,
304,2,17016,
304,3,28283,
305,1,61,
305,2,9649,
305,3,27639,
306,1,20,
306,2,6425,
306,3,26874,
307,1,106,
307,2,10473,
307,3,27733,
308,1,17,
308,2,3695,
308,3,25773,
309,1,3,
309,2,2174,
309,3,24015,
310,1,166,
310,2,14512,
310,3,28117,
311,1,31,
311,2,3941,
311,3,25970,
312,1,8,
312,2,3044,
312,3,25111,
313,1,53,
313,2,10573,
313,3,27746,
314,1,8,
314,2,1554,
314,3,23217,
315,1,5,
315,2,378,
315,3,18329,
316,1,455,
316,2,17134,
316,3,28288,
317,1,61,
317,2,9755,
317,3,27641,
318,1,29,
318,2,3997,
318,3,25897,
319,1,158,
319,2,12590,
319,3,27957,
320,1,23,
320,2,6493,
320,3,26980,
321,1,14,
321,2,3157,
321,3,25164,
322,1,215,
322,2,15283,
322,3,28175,
323,1,39,
